Make,Model,Broad.phase.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Year
Cessna,185,Cruise,0.0,0.0,0.0,2.0,1989
Bellanca,17-31ATC,Landing,0.0,0.0,0.0,1.0,1989
Cessna,172K,Cruise,4.0,0.0,0.0,0.0,1989
Cessna,T210L,Approach,0.0,0.0,1.0,0.0,1989
Hughes,269A,Standing,0.0,1.0,0.0,1.0,1989
Cessna,T210L,Climb,1.0,0.0,0.0,0.0,1989
Hughes,269C,Cruise,0.0,1.0,1.0,0.0,1989
Cessna,177,Descent,0.0,1.0,0.0,0.0,1989
Cessna,150J,Takeoff,0.0,0.0,1.0,0.0,1989
Cessna,182P,Cruise,1.0,0.0,0.0,0.0,1989
Cessna,182P,Cruise,0.0,0.0,1.0,0.0,1989
Aero Commander,685,Cruise,0.0,0.0,1.0,3.0,1989
Cessna,182,Maneuvering,1.0,0.0,0.0,0.0,1989
Cessna,172RG,Landing,0.0,0.0,0.0,1.0,1989
Beech,A60,Approach,0.0,0.0,0.0,1.0,1989
Hiller,UH-12D,Maneuvering,0.0,0.0,0.0,1.0,1989
Beech,A36,Cruise,0.0,0.0,0.0,2.0,1989
Cessna,411,Landing,0.0,0.0,0.0,2.0,1989
Adams,UNKNOWN,Landing,0.0,1.0,2.0,1.0,1989
Bell,206A,Climb,0.0,0.0,1.0,1.0,1989
Cessna,150H,Cruise,2.0,0.0,0.0,0.0,1989
"Smith, Ted Aerostar",601,Takeoff,1.0,0.0,0.0,0.0,1989
Piper,PA-28-181,Cruise,2.0,0.0,0.0,0.0,1989
Piper,PA-24-250,Cruise,2.0,0.0,0.0,0.0,1989
Piper,PA-32R-300,Cruise,0.0,0.0,1.0,0.0,1989
Cessna,182H,Taxi,0.0,0.0,0.0,1.0,1989
Piper,PA-31-350,Approach,0.0,0.0,0.0,1.0,1989
Piper,PA-31,Landing,0.0,0.0,0.0,3.0,1989
Piper,PA-28-181,Cruise,4.0,0.0,0.0,0.0,1989
Beech,A36TC,Takeoff,0.0,0.0,0.0,4.0,1989
Piper,PA-22-150,Approach,0.0,0.0,1.0,0.0,1989
Cessna,180,Landing,0.0,0.0,0.0,1.0,1989
Cessna,P210N,Landing,0.0,0.0,0.0,1.0,1989
Piper,PA-46-310P,Descent,3.0,0.0,0.0,0.0,1989
Bell,206L,Approach,0.0,0.0,0.0,1.0,1989
Helio,H-295,Takeoff,0.0,0.0,0.0,1.0,1989
Piper,PA-30,Cruise,0.0,0.0,1.0,0.0,1989
De Havilland,DHC-2,Landing,0.0,0.0,0.0,1.0,1989
Cessna,R172E,Landing,0.0,0.0,0.0,1.0,1989
Maule,MX-7-235,Landing,0.0,0.0,0.0,1.0,1989
De Havilland,DHC-3,Approach,0.0,0.0,0.0,2.0,1989
Piper,PA-60-601P,Cruise,3.0,0.0,0.0,0.0,1989
Bell,47G3B2A,Maneuvering,0.0,0.0,2.0,0.0,1989
Cessna,210,Descent,0.0,0.0,1.0,0.0,1989
De Havilland,DHC-2,Approach,0.0,2.0,0.0,0.0,1989
Beech,A36,Takeoff,1.0,2.0,1.0,0.0,1989
Cessna,206,Landing,0.0,0.0,1.0,0.0,1989
Piper,PA-23-250,,0.0,0.0,5.0,0.0,1989
Cessna,210H,Cruise,4.0,0.0,0.0,0.0,1989
Cessna,310R,,0.0,2.0,4.0,0.0,1989
Cessna,182A,Takeoff,0.0,0.0,1.0,4.0,1989
Cessna,P210N,Descent,1.0,0.0,0.0,0.0,1989
Cessna,152,Cruise,0.0,0.0,1.0,0.0,1989
Beech,58,Takeoff,3.0,1.0,0.0,0.0,1989
Hughes,500D,Takeoff,0.0,1.0,1.0,1.0,1989
Aerospatiale,AS-350-D,Cruise,2.0,0.0,0.0,0.0,1989
Cessna,172P,Cruise,0.0,0.0,1.0,0.0,1989
Piper,PA-32RT-300T,Cruise,0.0,0.0,0.0,3.0,1989
Aeronca,7AC,Cruise,0.0,0.0,0.0,1.0,1989
Piper,PA-32R-301T,Takeoff,2.0,0.0,0.0,0.0,1989
Piper,PA-32-300,Cruise,0.0,0.0,2.0,0.0,1989
Beech,V35TC,Cruise,1.0,0.0,0.0,0.0,1989
Cessna,320,Landing,0.0,0.0,0.0,3.0,1989
Piper,PA-32R-300,Landing,0.0,0.0,0.0,1.0,1989
Mooney,M22,Landing,0.0,0.0,0.0,1.0,1989
Hughes,269C,Cruise,0.0,1.0,0.0,2.0,1989
Cessna,206G,Takeoff,0.0,0.0,1.0,2.0,1989
Beech,70,Takeoff,6.0,0.0,0.0,0.0,1989
Cessna,172H,Maneuvering,1.0,0.0,0.0,0.0,1989
Piper,PA-601P,Takeoff,1.0,0.0,0.0,0.0,1989
Beech,E55,Climb,1.0,0.0,0.0,0.0,1989
Cessna,177RG,Cruise,2.0,0.0,0.0,0.0,1989
Cessna,182Q,Approach,1.0,0.0,0.0,0.0,1989
Piper,PA-12,Landing,0.0,0.0,0.0,2.0,1989
Cessna,182,Cruise,0.0,0.0,2.0,0.0,1989
Piper,PA-18A,Landing,0.0,0.0,0.0,2.0,1989
Cessna,172,Cruise,0.0,0.0,0.0,1.0,1989
Piper,PA-28-180,Takeoff,0.0,0.0,0.0,2.0,1989
De Havilland,DHC-2,Takeoff,0.0,0.0,0.0,4.0,1989
Cessna,210P,Approach,0.0,0.0,0.0,2.0,1989
Consolidated Aeronautics Inc.,LAKE-LA-4-200,Approach,0.0,1.0,2.0,0.0,1989
Cessna,180,Landing,0.0,0.0,0.0,1.0,1989
Aeronca,7AC,Landing,0.0,0.0,0.0,2.0,1989
Piper,PA-34-220T,Landing,0.0,0.0,0.0,1.0,1989
De Havilland,DHC-6,Landing,0.0,0.0,0.0,5.0,1989
Piper,PA-32-260,Approach,0.0,1.0,0.0,0.0,1989
Bell,206BII,Maneuvering,0.0,0.0,0.0,3.0,1989
Piper,PA-32-300,Landing,0.0,0.0,0.0,1.0,1989
Beech,36,Landing,0.0,0.0,0.0,2.0,1989
Piper,PA-28-180,Landing,0.0,0.0,0.0,1.0,1989
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1989
Cessna,185,Takeoff,0.0,1.0,2.0,0.0,1989
Cessna,550,Approach,2.0,0.0,0.0,0.0,1989
Beech,35,Takeoff,0.0,0.0,0.0,2.0,1989
Piper,PA-32RT-300T,Taxi,0.0,0.0,0.0,3.0,1989
Beech,58P,Approach,0.0,0.0,0.0,1.0,1989
Cessna,P210,Cruise,0.0,0.0,0.0,1.0,1989
Cessna,T-337G-P,Descent,0.0,0.0,0.0,4.0,1989
Cessna,170B,Cruise,0.0,0.0,0.0,2.0,1989
Piper,PA-28-161,Takeoff,2.0,0.0,0.0,0.0,1989
Wheeler Acft. Co.,EXPRESS 100,Cruise,0.0,0.0,2.0,0.0,1989
Cessna,320,Maneuvering,2.0,0.0,0.0,0.0,1989
Cessna,TR182,Cruise,2.0,0.0,0.0,0.0,1989
Classic Aircraft Corp.,YMF-5,Taxi,0.0,0.0,0.0,3.0,1989
Piper,PA-18-150,Maneuvering,0.0,0.0,2.0,0.0,1989
Beech,C90,Takeoff,4.0,0.0,0.0,0.0,1989
Cessna,320,Approach,0.0,0.0,0.0,3.0,1989
Cessna,U206B,Taxi,0.0,0.0,0.0,1.0,1989
Beech,A36,Approach,0.0,0.0,0.0,1.0,1989
Piper,601P,Approach,0.0,0.0,0.0,2.0,1989
Piper,PA-28,Approach,0.0,0.0,0.0,2.0,1989
Beech,A24R,Cruise,0.0,0.0,0.0,1.0,1989
Cessna,182P,Cruise,2.0,0.0,0.0,0.0,1989
Beech,A36,Approach,3.0,0.0,0.0,0.0,1989
Cessna,310K,,0.0,0.0,0.0,1.0,1989
Piper,PA-32R-300,Approach,0.0,2.0,0.0,0.0,1989
Piper,PA-28,Cruise,0.0,1.0,1.0,0.0,1989
Piper,PA-46P-350,Descent,0.0,3.0,0.0,0.0,1989
Piper,AEROSTAR 601P,Takeoff,2.0,0.0,0.0,0.0,1989
Beech,A36,Descent,0.0,0.0,0.0,1.0,1989
Cessna,T210N,Approach,3.0,0.0,0.0,0.0,1989
Piper,PA-31-350,Cruise,6.0,0.0,0.0,0.0,1989
Enstrom,F-28,Standing,1.0,0.0,1.0,1.0,1989
Piper,PA-60-602P,Cruise,1.0,0.0,0.0,0.0,1989
Beech,V35B,Descent,0.0,0.0,0.0,2.0,1989
Cessna,340,Approach,0.0,0.0,0.0,5.0,1989
Mcdonnell Douglas,369E,Takeoff,1.0,1.0,3.0,0.0,1989
Champion,7ECA,Landing,0.0,0.0,0.0,1.0,1989
Cessna,177B,Landing,0.0,0.0,0.0,1.0,1990
Mitsubishi,MU-2B-25,Cruise,0.0,0.0,0.0,1.0,1990
Stanger,AIRCOMMANDER 532,Maneuvering,1.0,0.0,0.0,0.0,1990
Cessna,P210N,Cruise,0.0,1.0,1.0,0.0,1990
Beech,400,Approach,0.0,0.0,0.0,3.0,1990
Mitsubishi,MU-2B-25,Takeoff,0.0,0.0,0.0,2.0,1990
Gulfstream-schweizer,G-164B,Landing,0.0,0.0,0.0,1.0,1990
Piper,PA-23-250,,0.0,0.0,0.0,6.0,1990
Aeronca,7DC,Takeoff,1.0,1.0,0.0,0.0,1990
Cessna,425,Go-around,0.0,0.0,0.0,1.0,1990
Robinson,R22,Takeoff,0.0,0.0,0.0,1.0,1990
Piper,PA-46-350P,Cruise,2.0,0.0,0.0,0.0,1990
Cessna,182P,Approach,3.0,0.0,0.0,0.0,1990
Piper,PA-28-180,Cruise,2.0,0.0,0.0,0.0,1990
Bell,206L,Takeoff,1.0,0.0,0.0,4.0,1990
Mitsubishi,MU-2B-60,Cruise,5.0,0.0,0.0,0.0,1990
Bell,47B3,Maneuvering,0.0,0.0,0.0,1.0,1990
Piper,PA-34-200,Taxi,0.0,0.0,0.0,4.0,1990
Piper,PA-32RT-300,Cruise,3.0,0.0,0.0,0.0,1990
Piper,PA-32-260,Maneuvering,0.0,3.0,1.0,0.0,1990
Piper,PA28-201T,Maneuvering,1.0,0.0,0.0,0.0,1990
Cessna,150,Landing,0.0,1.0,0.0,0.0,1990
Beech,B-60,Cruise,0.0,0.0,0.0,6.0,1990
Cessna,172N,Approach,1.0,0.0,0.0,0.0,1990
Cessna,CITATION SII,Cruise,0.0,0.0,0.0,4.0,1990
Cessna,T210J,Takeoff,0.0,0.0,1.0,0.0,1990
Cessna,150,Maneuvering,0.0,0.0,0.0,1.0,1990
Beech,100,Approach,0.0,2.0,0.0,0.0,1990
Piper,PA-28-140,Cruise,2.0,0.0,0.0,0.0,1990
Mooney,M20F,Descent,0.0,0.0,0.0,1.0,1990
Cessna,P210N,Landing,0.0,0.0,0.0,2.0,1990
Hughes,H500C,Cruise,0.0,0.0,0.0,1.0,1990
Piper,PA-32RT-300T,Landing,0.0,0.0,0.0,1.0,1990
Aerospatiale,SA-315B,Cruise,0.0,0.0,4.0,1.0,1990
Beech,A36,Approach,3.0,1.0,0.0,0.0,1990
Cessna,210E,Cruise,1.0,0.0,0.0,0.0,1990
Grumman,AA-5B,Cruise,0.0,0.0,0.0,1.0,1990
Cessna,182,Approach,0.0,0.0,2.0,0.0,1990
Cessna,207,Maneuvering,0.0,0.0,0.0,1.0,1990
Airship Industries,AIRSHIP 600,Cruise,0.0,0.0,0.0,4.0,1990
Piper,PA32RT-300,Cruise,2.0,0.0,0.0,0.0,1990
Piper,PA-34-200T,Landing,0.0,0.0,0.0,1.0,1990
Beech,F33A,Approach,0.0,0.0,3.0,0.0,1990
Enstrom,280,Takeoff,0.0,0.0,0.0,2.0,1990
Cessna,O337F,Takeoff,0.0,0.0,0.0,2.0,1990
Learjet,25D,Cruise,0.0,0.0,0.0,9.0,1990
Bellanca,17-30,Cruise,0.0,0.0,0.0,1.0,1990
Beech,BARON 58,Takeoff,0.0,0.0,0.0,1.0,1990
Mooney,M20C,Approach,0.0,1.0,0.0,0.0,1990
Piper,PA30,Approach,0.0,0.0,0.0,3.0,1990
Hiller,UH-12ET,Cruise,0.0,0.0,0.0,2.0,1990
Beech,A36,Landing,0.0,0.0,0.0,6.0,1990
Artic Aircraft Corp.,INTERSTATE S1B1,Climb,0.0,0.0,0.0,2.0,1990
Piper,PA-31-350,Approach,0.0,0.0,0.0,4.0,1990
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1990
Piper,PA-18A,Approach,0.0,0.0,0.0,1.0,1990
Cessna,210L,Takeoff,0.0,3.0,1.0,2.0,1990
Piper,PA-32-300,Approach,0.0,0.0,0.0,3.0,1990
Cessna,182RG,Landing,0.0,0.0,0.0,1.0,1990
Adams,A60S,Takeoff,0.0,1.0,0.0,4.0,1990
Cessna,401,Landing,0.0,0.0,0.0,1.0,1990
Helio,H-250,Landing,0.0,0.0,0.0,3.0,1990
Maule,M4,Cruise,0.0,0.0,0.0,1.0,1990
Piper,PA-28-161,Climb,2.0,0.0,0.0,0.0,1990
Cessna,205,Landing,0.0,0.0,0.0,1.0,1990
Bell,B47G-5,Maneuvering,0.0,0.0,0.0,2.0,1990
Piper,AEROSTAR 601P,Landing,0.0,0.0,0.0,1.0,1990
Piper,PA-28-235,Landing,0.0,0.0,0.0,1.0,1990
Piper,PA-25-260,Takeoff,0.0,0.0,0.0,1.0,1990
Bell,TH13T,Cruise,0.0,0.0,0.0,1.0,1990
Piper,PA31T,,1.0,0.0,0.0,0.0,1990
Hughes,369HS,Approach,0.0,0.0,0.0,4.0,1990
Maule,M-5,Landing,0.0,0.0,0.0,1.0,1990
Bell,B-47G2A,Cruise,0.0,0.0,0.0,2.0,1990
Bellanca,17-30A,Approach,2.0,0.0,0.0,0.0,1990
Piper,PA-46-310P,Climb,1.0,0.0,0.0,0.0,1990
Bell,BH-47G,Cruise,0.0,0.0,3.0,0.0,1990
Piper,PA-18,Takeoff,0.0,2.0,0.0,0.0,1990
Beech,95-C55,Takeoff,0.0,0.0,3.0,0.0,1990
Piper,PA-28-180,Descent,1.0,1.0,0.0,0.0,1990
Beech,C24R,Takeoff,0.0,0.0,0.0,1.0,1990
Piper,PA-32RT-300T,Cruise,1.0,0.0,0.0,0.0,1990
Mcdonnell Douglas,369HS,Cruise,0.0,0.0,4.0,0.0,1990
Beech,A36,Landing,0.0,0.0,0.0,5.0,1990
Bellanca,17-31ATC,Climb,0.0,2.0,0.0,0.0,1990
Cessna,T210L,Approach,0.0,0.0,0.0,1.0,1990
Cessna,177,Cruise,0.0,0.0,0.0,2.0,1990
Cessna,421C,Takeoff,0.0,0.0,0.0,5.0,1990
Bell,206A,Takeoff,0.0,0.0,0.0,4.0,1990
Piper,PA-24,Cruise,0.0,0.0,0.0,1.0,1990
Cessna,182,Cruise,0.0,0.0,0.0,1.0,1990
"Wheeler Technology, Inc.",FT-210,Unknown,3.0,0.0,0.0,0.0,1990
"Custom Aerotech, Inc.",WHITE LIGHTNING,Maneuvering,2.0,0.0,0.0,0.0,1990
Cessna,172P,Taxi,0.0,0.0,0.0,1.0,1990
Bell,TH-1L,Maneuvering,0.0,0.0,1.0,0.0,1990
Piper,PA-28-140,Landing,0.0,0.0,1.0,0.0,1990
Dassault,DA20F,Taxi,0.0,0.0,0.0,2.0,1990
Helio,COURIER H-295,Cruise,3.0,0.0,0.0,0.0,1990
Cessna,421B,Go-around,0.0,0.0,0.0,2.0,1990
Cessna,T-207A,Takeoff,0.0,0.0,0.0,5.0,1990
Cessna,421,Climb,0.0,0.0,0.0,2.0,1990
Cessna,172RG,Cruise,2.0,0.0,0.0,0.0,1990
Aerospatiale/socata,TB-10,Takeoff,4.0,0.0,0.0,0.0,1990
De Havilland,DHC-6,Cruise,0.0,0.0,0.0,3.0,1990
Piper,PA-32,Takeoff,0.0,0.0,0.0,1.0,1990
Cessna,P206C,Cruise,5.0,0.0,0.0,0.0,1990
Cessna,182P,Landing,0.0,0.0,0.0,1.0,1990
Cessna,182P,Landing,0.0,0.0,3.0,1.0,1990
Wsk,PZL-104,Approach,0.0,0.0,0.0,2.0,1990
Beech,58,,0.0,0.0,0.0,5.0,1990
Cessna,182R,Cruise,2.0,0.0,0.0,0.0,1990
Bell,206B,Standing,0.0,1.0,0.0,4.0,1990
Morane-saulnier,MS760,Takeoff,2.0,0.0,0.0,0.0,1990
Beech,58,Landing,1.0,3.0,0.0,0.0,1990
Mooney,M-10,Takeoff,0.0,0.0,0.0,1.0,1990
Cessna,177B,Maneuvering,0.0,0.0,0.0,3.0,1990
Cessna,185,Takeoff,0.0,1.0,2.0,0.0,1990
Hughes,369E,Cruise,0.0,3.0,0.0,0.0,1990
Piper,PA-18-160,Taxi,0.0,0.0,0.0,2.0,1990
Piper,PA-601P,Approach,1.0,0.0,0.0,0.0,1990
Cessna,150L,Standing,0.0,1.0,0.0,1.0,1990
Ryan,ST3KR,Takeoff,0.0,0.0,3.0,0.0,1990
Piper,PA-12,Cruise,0.0,0.0,2.0,1.0,1990
Piper,PA-18,Approach,0.0,0.0,0.0,2.0,1990
Grumman,AA5B,Approach,2.0,0.0,0.0,0.0,1990
Maule,M-4-210C,Cruise,1.0,0.0,0.0,0.0,1990
Mooney,M20K,Cruise,1.0,0.0,0.0,0.0,1990
Gulfstream American,690B,Cruise,0.0,0.0,0.0,3.0,1990
Balloon Works,AX9,Cruise,0.0,0.0,5.0,0.0,1990
Beech,P35,Approach,0.0,1.0,0.0,0.0,1990
Historical Aircraft Corp.,A-001,Takeoff,0.0,1.0,0.0,0.0,1990
Piper,PA-28-235,Approach,2.0,1.0,0.0,0.0,1990
Cessna,180,Landing,0.0,0.0,0.0,2.0,1990
Bell,47G4,Cruise,0.0,1.0,0.0,0.0,1990
Swearingen,SA-26AT,Cruise,0.0,0.0,0.0,1.0,1990
Piper,PA-28-180,Cruise,1.0,0.0,0.0,0.0,1990
Cessna,210,Landing,0.0,0.0,1.0,2.0,1990
Beech,A36,Descent,2.0,0.0,0.0,0.0,1990
Christen Industries,A-1,Cruise,0.0,0.0,0.0,1.0,1990
Beech,A36,Cruise,2.0,0.0,0.0,0.0,1990
Piper,601P,Approach,5.0,0.0,0.0,0.0,1990
Cessna,152,Cruise,0.0,0.0,0.0,1.0,1990
Cessna,210M,Climb,0.0,1.0,0.0,0.0,1990
Cessna,150K,Approach,2.0,0.0,0.0,0.0,1990
Cessna,172,Approach,0.0,0.0,1.0,0.0,1990
Enstrom,F-28C,Cruise,0.0,0.0,0.0,1.0,1990
Piper,PA-31T2,Approach,1.0,0.0,0.0,0.0,1990
Cessna,172N,Taxi,0.0,0.0,0.0,1.0,1990
Cessna,S550,Takeoff,0.0,0.0,0.0,5.0,1990
Rockwell,690C,Landing,0.0,0.0,0.0,7.0,1990
Beech,D-55,Go-around,0.0,1.0,0.0,0.0,1990
Cessna,172N,Standing,0.0,0.0,0.0,1.0,1990
Piper,PA 28R-200,Cruise,0.0,0.0,0.0,2.0,1990
Cessna,401B,,0.0,2.0,3.0,0.0,1990
Piper,PA-28-161,Cruise,1.0,0.0,0.0,0.0,1990
Cessna,310Q,Landing,0.0,0.0,0.0,1.0,1990
Cessna,T210M,Takeoff,1.0,0.0,0.0,0.0,1991
Beech,58,,2.0,0.0,0.0,0.0,1991
Folland,GNAT T-1,Go-around,2.0,0.0,0.0,0.0,1991
Cessna,175,Landing,0.0,0.0,0.0,1.0,1991
Cessna,U206F,,1.0,0.0,0.0,0.0,1991
Cessna,172RG,Cruise,1.0,0.0,0.0,0.0,1991
Mooney,M20K,Cruise,1.0,0.0,0.0,0.0,1991
Beech,58P,Landing,0.0,0.0,0.0,3.0,1991
Cessna,320,Landing,0.0,0.0,0.0,1.0,1991
Piper,PA-24-180,Go-around,1.0,1.0,0.0,0.0,1991
Beech,200,Descent,0.0,0.0,0.0,2.0,1991
Cessna,340,Landing,0.0,0.0,0.0,1.0,1991
Piper,PA-28R-200,Approach,1.0,0.0,0.0,0.0,1991
Piper,PA-28-181,Approach,0.0,0.0,0.0,4.0,1991
Piper,PA-23-250,Takeoff,1.0,0.0,0.0,0.0,1991
Cessna,U206,Maneuvering,4.0,0.0,0.0,0.0,1991
Gulfstream,G-1159,Landing,0.0,0.0,0.0,3.0,1991
Avions Marcel Dassault,MISTERT FALCON 900,Climb,0.0,0.0,0.0,7.0,1991
Hughes,269C,Maneuvering,0.0,2.0,1.0,0.0,1991
Cessna,421C,Cruise,0.0,0.0,0.0,6.0,1991
Cessna,180,Approach,0.0,0.0,0.0,2.0,1991
Cessna,T210N,Cruise,0.0,0.0,0.0,2.0,1991
Piper,PA-22-150,Landing,0.0,0.0,0.0,1.0,1991
Beech,58P,Cruise,1.0,0.0,0.0,0.0,1991
Beech,58,Maneuvering,2.0,0.0,0.0,0.0,1991
Piper,PA-32RT-300T,Landing,0.0,0.0,0.0,1.0,1991
Beech,55,Landing,0.0,0.0,0.0,2.0,1991
Hughes,369D,Cruise,0.0,0.0,0.0,3.0,1991
Beech,A36,Approach,0.0,2.0,0.0,0.0,1991
Helio,H-295,Takeoff,0.0,0.0,0.0,4.0,1991
Cessna,182Q,Landing,0.0,0.0,0.0,2.0,1991
Beech,A36,Landing,0.0,0.0,0.0,1.0,1991
Piper,PA-30,Approach,4.0,0.0,0.0,0.0,1991
Piper,PA-28-201T,Cruise,2.0,0.0,0.0,0.0,1991
Piper,PA-28R-201T,Cruise,2.0,0.0,0.0,0.0,1991
Piper,PA-24-180,Approach,3.0,0.0,0.0,0.0,1991
Beech,F33A,Taxi,0.0,0.0,0.0,2.0,1991
Piper,PA-24-250,Cruise,1.0,1.0,0.0,0.0,1991
Beech,P35,Cruise,0.0,0.0,0.0,2.0,1991
Cessna,402A,Taxi,0.0,0.0,0.0,2.0,1991
Hughes,369D,Landing,0.0,0.0,0.0,3.0,1991
Aeronca,11AC,Cruise,0.0,1.0,1.0,0.0,1991
Piper,PA-18-150,Maneuvering,0.0,2.0,0.0,0.0,1991
Cessna,P210,Landing,0.0,0.0,0.0,3.0,1991
Piper,PA-31B-310,Climb,1.0,0.0,0.0,0.0,1991
Aerospace Tech. Of Australia,N22B,Cruise,0.0,0.0,0.0,2.0,1991
Beech,A-36,Climb,1.0,0.0,0.0,0.0,1991
Mitsubishi,MU-2B-20,Cruise,1.0,0.0,0.0,2.0,1991
Cessna,182L,Takeoff,0.0,0.0,0.0,2.0,1991
Piper,PA-34-220T,Landing,0.0,0.0,0.0,2.0,1991
Beech,V35B,Descent,4.0,0.0,0.0,0.0,1991
Pitts,S-2B,Taxi,0.0,0.0,0.0,2.0,1991
Pitts,S-2B,Taxi,0.0,0.0,0.0,2.0,1991
Cessna,172N,Cruise,1.0,0.0,0.0,0.0,1991
Cessna,172M,Maneuvering,1.0,0.0,0.0,0.0,1991
Beech,C23,Approach,0.0,2.0,1.0,0.0,1991
Cameron,N120,Approach,0.0,1.0,0.0,4.0,1991
Beech,BE-23-B24R,Cruise,0.0,0.0,0.0,3.0,1991
Piper,PA-18-125,Maneuvering,2.0,0.0,0.0,0.0,1991
Cessna,210M,Cruise,2.0,0.0,0.0,0.0,1991
Cessna,C-172,Maneuvering,1.0,0.0,0.0,0.0,1991
Piper,PA-28-151,Takeoff,0.0,0.0,0.0,1.0,1991
Boeing,DHC-6-300,Standing,0.0,0.0,0.0,2.0,1991
Piper,PA-18,Maneuvering,1.0,1.0,0.0,0.0,1991
Sikorsky,58H,Cruise,0.0,0.0,0.0,6.0,1991
Beech,95-B55,Cruise,1.0,0.0,0.0,0.0,1991
Robinson,R-22 BETA,Maneuvering,0.0,0.0,2.0,0.0,1991
Bellanca,7GCBC,Takeoff,0.0,0.0,0.0,1.0,1991
Bell,UH-1B,Maneuvering,0.0,0.0,1.0,0.0,1991
Piper,PA-34-200T,Landing,0.0,0.0,0.0,2.0,1991
Cessna,185F,Landing,0.0,0.0,0.0,1.0,1991
De Havilland,DHC-2,Cruise,0.0,0.0,0.0,6.0,1991
Hughes,369D,Cruise,0.0,0.0,0.0,1.0,1991
Cessna,150L,Descent,0.0,0.0,0.0,2.0,1991
Bell,206B,Landing,0.0,0.0,0.0,2.0,1991
Cessna,U206C,Landing,1.0,0.0,0.0,0.0,1991
Helio,H-295,Cruise,0.0,0.0,3.0,1.0,1991
"Airnew, Inc.",QUESTAIR,Landing,0.0,0.0,1.0,0.0,1991
De Havilland,DHC2 MK1,Maneuvering,0.0,0.0,0.0,2.0,1991
Piper,PA28R-200,Cruise,0.0,0.0,0.0,5.0,1991
Piper,PA-25-235,Cruise,0.0,0.0,0.0,1.0,1991
Piper,PA-24-260,Landing,0.0,0.0,1.0,2.0,1991
Cessna,152,Maneuvering,0.0,0.0,0.0,2.0,1991
Piper,PA32-300,Approach,2.0,0.0,0.0,0.0,1991
Cessna,421B,Landing,0.0,0.0,0.0,2.0,1991
Beech,B200,Cruise,0.0,0.0,0.0,8.0,1991
Cessna,182P,Cruise,1.0,0.0,0.0,0.0,1991
Cessna,185,Landing,0.0,0.0,0.0,4.0,1991
Cessna,206,Landing,0.0,0.0,0.0,2.0,1991
Cessna,177RG,Takeoff,0.0,0.0,0.0,2.0,1991
Cessna,182C,Maneuvering,0.0,0.0,0.0,1.0,1991
Pilatus,PORTER PC-6/350,Cruise,0.0,0.0,0.0,2.0,1991
Piper,PA-31-325,Landing,0.0,0.0,0.0,1.0,1991
Cessna,A185F,Maneuvering,2.0,0.0,0.0,0.0,1991
Cessna,172M,Approach,2.0,0.0,0.0,0.0,1991
Piper,PA-46-310P,Climb,0.0,0.0,0.0,2.0,1991
Piper,PA-28RT-201T,Descent,1.0,0.0,0.0,0.0,1991
Cessna,182E,Descent,0.0,0.0,1.0,1.0,1991
Bell,47G,Takeoff,0.0,0.0,0.0,1.0,1991
Piper,PA-18-150,Landing,0.0,0.0,0.0,2.0,1991
Piper,PA-12,Maneuvering,0.0,0.0,0.0,3.0,1991
Beech,35-C33,Cruise,3.0,0.0,0.0,0.0,1991
Bellanca,17-30A,Descent,1.0,0.0,0.0,0.0,1991
Beech,77,Takeoff,0.0,0.0,1.0,0.0,1991
Cessna,180A,Takeoff,0.0,0.0,0.0,4.0,1991
Maule,M-7-235,Takeoff,0.0,0.0,0.0,3.0,1991
Cessna,T-207A,Maneuvering,0.0,0.0,0.0,1.0,1991
Cessna,185-F,Landing,0.0,0.0,0.0,1.0,1991
De Havilland,DHC-2,Landing,0.0,0.0,0.0,1.0,1991
Boeing,A 75N1,Takeoff,0.0,0.0,0.0,2.0,1991
Cessna,185,Takeoff,0.0,0.0,0.0,3.0,1991
Bell,47G-3B-2,Approach,0.0,0.0,2.0,0.0,1991
Hughes,369D,Cruise,0.0,0.0,0.0,1.0,1991
Piper,PA-18-150,Takeoff,0.0,1.0,1.0,0.0,1991
Bell,47G2,Landing,0.0,0.0,2.0,1.0,1991
Piper,PA-31T-620,Taxi,0.0,0.0,0.0,4.0,1991
Piper,PA-31-350,Takeoff,0.0,0.0,0.0,7.0,1991
Maule,M-5,Landing,0.0,0.0,0.0,1.0,1991
De Havilland,DHC-2 MKI,Landing,0.0,0.0,1.0,0.0,1991
Cessna,177A,Takeoff,0.0,0.0,0.0,1.0,1991
Beech,A36,Climb,2.0,0.0,0.0,0.0,1991
Mooney,M20K,Cruise,0.0,0.0,0.0,2.0,1991
Piper,PA-46-310P,Takeoff,0.0,1.0,4.0,0.0,1991
Piper,PA-18,Cruise,0.0,0.0,1.0,0.0,1991
Aerostar,RAVEN S-60,Landing,0.0,1.0,0.0,4.0,1991
Mcdonnell Douglas,MD369D,Taxi,0.0,0.0,0.0,3.0,1991
Bell,206B,Cruise,3.0,0.0,0.0,0.0,1991
Cessna,152,Maneuvering,0.0,1.0,0.0,0.0,1991
Schweizer,SGS 2-33A,Approach,0.0,0.0,2.0,0.0,1991
Piper,PA-23-250,Approach,0.0,1.0,2.0,0.0,1991
